"STATION","NAME","DATE","TAVG","TOBS"
"USC00202437","EATON RAPIDS, MI US","2013-05-13",,"35"
"USC00202437","EATON RAPIDS, MI US","2013-05-14",,"50"
"USC00202437","EATON RAPIDS, MI US","2013-05-15",,"73"
"USC00202437","EATON RAPIDS, MI US","2013-05-16",,"54"
"USC00202437","EATON RAPIDS, MI US","2013-05-17",,"53"
"USC00202437","EATON RAPIDS, MI US","2013-05-21",,"65"
"USC00202437","EATON RAPIDS, MI US","2013-05-22",,"67"
"USC00202437","EATON RAPIDS, MI US","2013-05-23",,"59"
"USC00202437","EATON RAPIDS, MI US","2013-05-24",,"40"
"USC00202437","EATON RAPIDS, MI US","2013-05-28",,"55"
"USC00202437","EATON RAPIDS, MI US","2013-05-30",,"71"
"USC00202437","EATON RAPIDS, MI US","2013-05-31",,"71"
"USC00202437","EATON RAPIDS, MI US","2013-06-03",,"47"
"USC00202437","EATON RAPIDS, MI US","2013-06-05",,"54"
"USC00202437","EATON RAPIDS, MI US","2013-06-06",,"56"
"USC00202437","EATON RAPIDS, MI US","2013-06-10",,"63"
"USC00202437","EATON RAPIDS, MI US","2013-06-12",,"65"
"USC00202437","EATON RAPIDS, MI US","2013-06-13",,"61"
"USC00202437","EATON RAPIDS, MI US","2013-06-17",,"65"
"USC00202437","EATON RAPIDS, MI US","2013-06-18",,"58"
"USC00202437","EATON RAPIDS, MI US","2013-06-20",,"60"
"USC00202437","EATON RAPIDS, MI US","2013-06-21",,"65"
"USC00202437","EATON RAPIDS, MI US","2013-06-24",,"71"
"USC00202437","EATON RAPIDS, MI US","2013-06-25",,"67"
"USC00202437","EATON RAPIDS, MI US","2013-06-26",,"68"
"USC00202437","EATON RAPIDS, MI US","2013-06-27",,"69"
"USC00202437","EATON RAPIDS, MI US","2013-07-03",,"63"
"USC00202437","EATON RAPIDS, MI US","2013-07-09",,"71"
"USC00202437","EATON RAPIDS, MI US","2013-07-10",,"76"
"USC00202437","EATON RAPIDS, MI US","2013-07-11",,"63"
"USC00202437","EATON RAPIDS, MI US","2013-07-12",,"60"
"USC00202437","EATON RAPIDS, MI US","2013-07-16",,"75"
"USC00202437","EATON RAPIDS, MI US","2013-07-17",,"77"
"USC00202437","EATON RAPIDS, MI US","2013-07-18",,"77"
"USC00202437","EATON RAPIDS, MI US","2013-07-19",,"79"
"USC00202437","EATON RAPIDS, MI US","2013-07-23",,"69"
"USC00202437","EATON RAPIDS, MI US","2013-07-24",,"54"
"USC00202437","EATON RAPIDS, MI US","2013-07-25",,"56"
"USC00202437","EATON RAPIDS, MI US","2013-07-26",,"60"
"USC00202437","EATON RAPIDS, MI US","2013-07-30",,"53"
"USC00202437","EATON RAPIDS, MI US","2013-07-31",,"65"
"USC00202437","EATON RAPIDS, MI US","2013-08-01",,"63"
"USC00202437","EATON RAPIDS, MI US","2013-08-02",,"60"
"USC00202437","EATON RAPIDS, MI US","2013-08-05",,"54"
"USC00202437","EATON RAPIDS, MI US","2013-08-06",,"64"
"USC00202437","EATON RAPIDS, MI US","2013-08-07",,"67"
"USC00202437","EATON RAPIDS, MI US","2013-08-08",,"62"
"USC00202437","EATON RAPIDS, MI US","2013-08-09",,"59"
"USC00202437","EATON RAPIDS, MI US","2013-08-12",,"64"
"USC00202437","EATON RAPIDS, MI US","2013-08-13",,"55"
"USC00202437","EATON RAPIDS, MI US","2013-08-14",,"50"
"USC00202437","EATON RAPIDS, MI US","2013-08-15",,"49"
"USC00202437","EATON RAPIDS, MI US","2013-08-16",,"51"
"USC00202437","EATON RAPIDS, MI US","2013-08-17",,"52"
"USC00202437","EATON RAPIDS, MI US","2013-08-18",,"54"
"USC00202437","EATON RAPIDS, MI US","2013-08-19",,"57"
"USC00202437","EATON RAPIDS, MI US","2013-08-20",,"60"
"USC00202437","EATON RAPIDS, MI US","2013-08-21",,"64"
"USC00202437","EATON RAPIDS, MI US","2013-08-22",,"65"
"USC00202437","EATON RAPIDS, MI US","2013-08-23",,"57"
"USC00202437","EATON RAPIDS, MI US","2013-08-24",,"54"
"USC00202437","EATON RAPIDS, MI US","2013-08-25",,"58"
"USC00202437","EATON RAPIDS, MI US","2013-08-26",,"67"
"USC00202437","EATON RAPIDS, MI US","2013-08-27",,"72"
